sample_idx,min_ade,min_fde,best_ade_k,best_fde_k,conf_ade,conf_fde,conf_k,conf_prob
2358,0.10468018800020218,0.10730674862861633,1,1,0.10468018800020218,0.10730674862861633,1,0.5632714629173279
54,0.0483061820268631,0.06635753810405731,1,1,0.0483061820268631,0.06635753810405731,1,0.9533458948135376
2038,0.06149371340870857,0.08771103620529175,1,1,0.06149371340870857,0.08771103620529175,1,0.8516764640808105
1452,0.04533625766634941,0.07625237852334976,1,1,0.04533625766634941,0.07625237852334976,1,0.8573135137557983
604,0.1147412657737732,0.22830598056316376,1,5,0.1147412657737732,0.4737996757030487,1,0.8365011215209961
17,0.1820847988128662,0.23146408796310425,5,5,0.1992587298154831,0.31107956171035767,1,0.5875518321990967
1015,3.351999044418335,5.004971027374268,0,0,3.351999044418335,5.004971027374268,0,0.4752850830554962
2331,0.22992102801799774,0.3768433928489685,5,5,0.446756511926651,0.654268741607666,1,0.5803820490837097
738,5.705965518951416,13.796899795532227,0,0,13.71905517578125,35.3738899230957,3,0.623887300491333
1859,0.5430974364280701,0.9547849297523499,3,3,0.5430974364280701,0.9547849297523499,3,0.9848873019218445
2653,0.03427409753203392,0.061340153217315674,1,1,0.03427409753203392,0.061340153217315674,1,0.9138875603675842
775,0.021153582260012627,0.036849118769168854,1,1,0.021153582260012627,0.036849118769168854,1,0.9756497144699097
2174,0.04121606424450874,0.0921899601817131,1,1,0.04121606424450874,0.0921899601817131,1,0.9861578941345215
46,0.04200492799282074,0.06492485105991364,1,1,0.04200492799282074,0.06492485105991364,1,0.9378722310066223
247,1.346335768699646,2.891812562942505,0,0,1.346335768699646,2.891812562942505,0,0.7611223459243774
3279,1.0886880159378052,2.0155556201934814,3,3,1.0886880159378052,2.0155556201934814,3,0.7374677062034607
967,0.029966838657855988,0.08904305845499039,1,1,0.029966838657855988,0.08904305845499039,1,0.8469187021255493
761,0.021135495975613594,0.03602925315499306,1,1,0.021135495975613594,0.03602925315499306,1,0.9758002161979675
3065,0.05032722279429436,0.0578562393784523,1,1,0.05032722279429436,0.0578562393784523,1,0.7897990942001343
892,0.04627874121069908,0.08960552513599396,1,1,0.04627874121069908,0.08960552513599396,1,0.986091673374176
2481,0.1170046329498291,0.12862998247146606,1,5,0.11991549283266068,0.12862998247146606,5,0.4993869364261627
472,0.045715246349573135,0.09551234543323517,1,1,0.045715246349573135,0.09551234543323517,1,0.9526169896125793
2184,0.07732363790273666,0.1497749388217926,5,1,0.07732363790273666,0.16976489126682281,5,0.5444029569625854
455,0.09433155506849289,0.07047270238399506,1,1,0.09433155506849289,0.07047270238399506,1,0.9011318683624268
3093,0.25503548979759216,0.386691689491272,4,5,0.43390944600105286,0.386691689491272,5,0.5628533959388733
2159,0.10173245519399643,0.13175268471240997,1,1,0.10173245519399643,0.13175268471240997,1,0.7371195554733276
1198,0.18138514459133148,0.17660853266716003,5,5,0.18138514459133148,0.17660853266716003,5,0.9824212193489075
335,0.0627858117222786,0.04055105522274971,1,1,0.0627858117222786,0.04055105522274971,1,0.9969576597213745
824,2.4320054054260254,3.060202121734619,3,3,2.4320054054260254,3.060202121734619,3,0.9265053272247314
2994,0.13033287227153778,0.021297208964824677,1,1,0.13033287227153778,0.021297208964824677,1,0.9448829889297485
1397,0.03862963616847992,0.07595761865377426,1,1,0.03862963616847992,0.07595761865377426,1,0.9900873303413391
2854,0.04277527704834938,0.09065030515193939,1,1,0.04277527704834938,0.09065030515193939,1,0.9773969650268555
1495,0.026156507432460785,0.024786829948425293,1,1,0.026156507432460785,0.024786829948425293,1,0.8273031115531921
1734,0.35913386940956116,0.9150756001472473,3,3,0.35913386940956116,0.9150756001472473,3,0.5760140419006348
2432,0.3195265233516693,0.30808770656585693,1,5,0.32486340403556824,0.30808770656585693,5,0.9438124895095825
1582,0.10561483353376389,0.15781743824481964,1,1,0.10561483353376389,0.15781743824481964,1,0.6397292613983154
1821,0.049879252910614014,0.1118098720908165,1,1,0.049879252910614014,0.1118098720908165,1,0.9865532517433167
1790,0.07899157702922821,0.05541490018367767,1,1,0.07899157702922821,0.05541490018367767,1,0.9970149993896484
1450,0.0661558136343956,0.10786972939968109,1,1,0.0661558136343956,0.10786972939968109,1,0.8550779223442078
1864,0.5932715535163879,1.2335559129714966,3,3,0.5932715535163879,1.2335559129714966,3,0.8716881275177002
1454,0.034899644553661346,0.06132357195019722,1,1,0.034899644553661346,0.06132357195019722,1,0.8571075797080994
1123,0.05669863894581795,0.12517611682415009,1,1,0.05669863894581795,0.12517611682415009,1,0.9648504853248596
1967,0.5890721082687378,1.9519531726837158,3,3,0.5890721082687378,1.9519531726837158,3,0.9981521964073181
3056,0.4289986193180084,0.5723430514335632,1,1,0.4289986193180084,0.5723430514335632,1,0.57232266664505
882,0.04818946123123169,0.09428824484348297,1,1,0.04818946123123169,0.09428824484348297,1,0.9874274730682373
636,0.05482430383563042,0.10459432005882263,1,1,0.05482430383563042,0.10459432005882263,1,0.85855633020401
3252,0.026255635544657707,0.05773342400789261,1,1,0.026255635544657707,0.05773342400789261,1,0.9877910614013672
1576,0.06959889084100723,0.12436987459659576,1,1,0.06959889084100723,0.12436987459659576,1,0.9484371542930603
963,0.07097619026899338,0.1259170025587082,1,1,0.07097619026899338,0.1259170025587082,1,0.6925216913223267
1418,0.052170366048812866,0.13197915256023407,1,5,0.052170366048812866,0.21611689031124115,1,0.8061668872833252
1644,0.04020337387919426,0.08220761269330978,1,1,0.04020337387919426,0.08220761269330978,1,0.9966241121292114
516,0.10432293266057968,0.1670491099357605,1,1,0.10432293266057968,0.1670491099357605,1,0.9736486077308655
311,0.024251451715826988,0.04982585832476616,1,1,0.024251451715826988,0.04982585832476616,1,0.9612889289855957
2576,0.09287303686141968,0.07579618692398071,1,1,0.09287303686141968,0.07579618692398071,1,0.8068685531616211
1338,0.1653970628976822,0.19671685993671417,5,5,0.30438971519470215,0.40117132663726807,1,0.7902420163154602
1757,0.12699894607067108,0.21193881332874298,1,1,0.12699894607067108,0.21193881332874298,1,0.9705365896224976
2782,0.1531236320734024,0.23669663071632385,1,1,0.1531236320734024,0.23669663071632385,1,0.7512099146842957
1750,0.09429473429918289,0.15890370309352875,1,1,0.09429473429918289,0.15890370309352875,1,0.9707794189453125
2324,0.3125557601451874,0.4223673343658447,1,1,0.3125557601451874,0.4223673343658447,1,0.5729914307594299
569,0.6447713971138,1.1428022384643555,3,3,0.6447713971138,1.1428022384643555,3,0.8405309319496155
1417,0.046709176152944565,0.10700951516628265,1,1,0.046709176152944565,0.10700951516628265,1,0.9789550304412842
2908,1.4026775360107422,3.3053526878356934,3,3,1.4026775360107422,3.3053526878356934,3,0.9694930911064148
2627,0.1032114252448082,0.047411467880010605,1,1,0.1032114252448082,0.047411467880010605,1,0.597869873046875
1519,0.14049740135669708,0.11791276931762695,1,1,0.14049740135669708,0.11791276931762695,1,0.7751551270484924
