feature_set,model_group,method,ade,fde,num_samples,summary_path,plots_root,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
motion_yaw,linear_regression,linear_regression,1.1416428320014596,2.6140753069088203,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/linear_regression/linear_regression_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,,,,,,,,,linear_regression,linear_regression
motion_yaw,linear_regression,ridge_regression,1.150862880466527,2.637188413820695,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/linear_regression/linear_regression_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,,,,,1.0,,,,ridge_regression,ridge_regression
motion_yaw,constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
xy_only,constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results/constant_velocity/constant_velocity_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
xy_only,gru,gru_hidden_256_layers_2,1.1611983686452731,2.58188008912839,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,256.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_2,gru_hidden_256_layers_2
xy_only,transformer,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,1.1681990230598869,2.5707846921868622,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,2.0,100.0,0.0003,0.1,,128.0,4.0,256.0,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003
xy_only,linear_regression,ridge_regression,1.1692448788089678,2.679322338120652,704,/workspaces/nuscenes_trajectory_demo/outputs/results/linear_regression/linear_regression_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,,,,,10.0,,,,ridge_regression,ridge_regression
xy_only,transformer,transformer_d128_heads_4_layers_1_ff_256_lr_0p0003,1.1732063874925105,2.561317666375544,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,1.0,100.0,0.0003,0.1,,128.0,4.0,256.0,transformer_d128_heads_4_layers_1_ff_256_lr_0p0003,transformer_d128_heads_4_layers_1_ff_256_lr_0p0003
xy_only,linear_regression,linear_regression,1.1792011331073644,2.707784376461694,704,/workspaces/nuscenes_trajectory_demo/outputs/results/linear_regression/linear_regression_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,,,,,,,,,linear_regression,linear_regression
xy_only,mlp,mlp_hidden_256,1.189591170493672,2.641397457913792,704,/workspaces/nuscenes_trajectory_demo/outputs/results/mlp/mlp_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,,,,,,,,,mlp_hidden_256,mlp_hidden_256
xy_only,mlp,mlp_hidden_128,1.2039007337271783,2.6592229088445576,704,/workspaces/nuscenes_trajectory_demo/outputs/results/mlp/mlp_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,,,,,,,,,mlp_hidden_128,mlp_hidden_128
xy_only,transformer,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,1.2073777169200846,2.638715120991533,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,1.0,100.0,0.0003,0.1,,64.0,4.0,128.0,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003
xy_only,mlp,mlp_hidden_64,1.2536050040296025,2.71617986495469,704,/workspaces/nuscenes_trajectory_demo/outputs/results/mlp/mlp_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,,,,,,,,,mlp_hidden_64,mlp_hidden_64
motion_yaw,constant_velocity,constant_velocity_smoothed,1.3001133271404384,2.847668970837152,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,,,,,,,,,constant_velocity_smoothed,constant_velocity_smoothed
xy_only,constant_velocity,constant_velocity_smoothed,1.3001133271404384,2.847668970837152,704,/workspaces/nuscenes_trajectory_demo/outputs/results/constant_velocity/constant_velocity_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,,,,,,,,,constant_velocity_smoothed,constant_velocity_smoothed
